,Position,Track Name,Artist,Streams
0,1,Starboy,The Weeknd,25286465
1,2,Closer,The Chainsmokers,22047697
2,3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,19794482
3,4,Let Me Love You,DJ Snake,17965723
4,5,Don't Wanna Know,Maroon 5,16966668
5,6,Black Beatles,Rae Sremmurd,16831609
6,7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,16797090
7,8,Fake Love,Drake,16629189
8,9,24K Magic,Bruno Mars,16023066
9,10,Say You Won't Let Go,James Arthur,15571413
10,11,All I Want for Christmas Is You,Mariah Carey,15094760
11,12,I Feel It Coming,The Weeknd,14845976
12,13,One Dance,Drake,13620191
13,14,Cold Water (feat. Justin Bieber & MØ),Major Lazer,13143341
14,15,The Greatest,Sia,13074479
15,16,In the Name of Love,Martin Garrix,12854288
16,17,Call On Me - Ryan Riback Extended Remix,Starley,12309223
17,18,Chantaje (feat. Maluma),Shakira,12104974
18,19,Side To Side,Ariana Grande,11964458
19,20,Just Hold On,Steve Aoki,11735194
20,21,Last Christmas,Wham!,11724752
21,22,Starving,Hailee Steinfeld,10932500
22,23,Bad and Boujee (feat. Lil Uzi Vert),Migos,10635390
23,24,Bad Things (with Camila Cabello),Machine Gun Kelly,10620238
24,25,Mercy,Shawn Mendes,10507024
25,26,My Way,Calvin Harris,10330481
26,27,Heathens,Twenty One Pilots,10169963
27,28,All We Know,The Chainsmokers,10163696
28,29,Don't Let Me Down,The Chainsmokers,9267559
29,30,Treat You Better,Shawn Mendes,9168864
30,31,Scars To Your Beautiful,Alessia Cara,8583889
31,32,Reggaetón Lento (Bailemos),CNCO,8223181
32,33,Love Me Now,John Legend,8203210
33,34,All Night,The Vamps,7749405
34,35,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,7734734
35,36,Now and Later,Sage The Gemini,7724332
36,37,The Mack,Nevada,7669735
37,38,By Your Side,Jonas Blue,7669293
38,39,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,7596658
39,40,Alone,Alan Walker,7584237
40,41,It's Beginning To Look A Lot Like Christmas,Michael Bublé,7493998
41,42,I Would Like,Zara Larsson,7461568
42,43,Party Monster,The Weeknd,7431097
43,44,Safari,J Balvin,7286559
44,45,It's the Most Wonderful Time of the Year,Andy Williams,7232257
45,46,Cheap Thrills,Sia,7218935
46,47,Deja Vu,J. Cole,7217628
47,48,Broccoli (feat. Lil Yachty),DRAM,7143405
48,49,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,7093486
49,50,Caroline,Aminé,7091625
50,51,Jingle Bell Rock,Bobby Helms,7055550
51,52,Vente Pa' Ca,Ricky Martin,6588326
52,53,Otra Vez (feat. J Balvin),Zion & Lennox,6449470
53,54,Ride,Twenty One Pilots,6394724
54,55,Shed a Light,Robin Schulz,6295040
55,56,"How Far I'll Go - From ""Moana""",Alessia Cara,6273292
56,57,Hear Me Now,Alok,6269293
57,58,Sexual,NEIKED,6070351
58,59,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,5981969
59,60,White Christmas,Bing Crosby,5949789
60,61,Perfect Strangers,Jonas Blue,5874412
61,62,This Is What You Came For,Calvin Harris,5682904
62,63,Bounce Back,Big Sean,5581496
63,64,Too Good,Drake,5568347
64,65,Stressed Out,Twenty One Pilots,5561301
65,66,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,5553147
66,67,"i hate u, i love u (feat. olivia o'brien)",gnash,5529838
67,68,Feliz Navidad,José Feliciano,5503666
68,69,Work from Home,Fifth Harmony,5426035
69,70,Do They Know It's Christmas? - 1984 Version,Band Aid,5360185
70,71,Human,Rag'n'Bone Man,5332630
71,72,Faded,Alan Walker,5324718
72,73,Panda,Desiigner,5286319
73,74,Love Yourself,Justin Bieber,5262534
74,75,Work,Rihanna,5193349
75,76,Sorry,Justin Bieber,5191994
76,77,Blue Christmas,Elvis Presley,5185497
77,78,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,5183750
78,79,Solo Dance,Martin Jensen,5126414
79,80,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,5077939
80,81,Setting Fires,The Chainsmokers,5056330
81,82,Merry Christmas Everyone - Remastered,Shakin' Stevens,4997993
82,83,Make Me (Cry),Noah Cyrus,4926962
83,84,Santa Tell Me,Ariana Grande,4899973
84,85,La Bicicleta,Carlos Vives,4896546
85,86,Chill Bill,Rob $tone,4888031
86,87,Happy Xmas (War Is Over) - Remastered,John Lennon,4885251
87,88,Shout Out to My Ex,Little Mix,4836418
88,89,Lot to Learn,Luke Christopher,4833942
89,90,Mistletoe,Justin Bieber,4817146
90,91,Traicionera,Sebastian Yatra,4805621
91,92,Controlla,Drake,4781312
92,93,Water Under the Bridge,Adele,4765744
93,94,The Ocean (feat. Shy Martin),Mike Perry,4607088
94,95,Hymn For The Weekend - Seeb Remix,Coldplay,4590654
95,96,Needed Me,Rihanna,4583611
96,97,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,4571592
97,98,Sidewalks,The Weeknd,4570153
98,99,The Christmas Song (Merry Christmas To You),Nat King Cole,4534872
99,100,X (feat. Future),21 Savage,4508475
100,101,Shaky Shaky,Daddy Yankee,4460038
101,102,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,4420554
102,103,Cake By The Ocean,DNCE,4408356
103,104,7 Years,Lukas Graham,4397591
104,105,Versace On The Floor,Bruno Mars,4396780
105,106,Sunset Lover,Petit Biscuit,4385053
106,107,Sneakin’,Drake,4283490
107,108,Six Feet Under,The Weeknd,4275228
108,109,No Heart,21 Savage,4257945
109,110,Fairytale of New York (feat. Kirsty MacColl),The Pogues,4245077
110,111,Hallelujah,Pentatonix,4164977
111,112,Middle,DJ Snake,4147726
