Catégorie : Toutes catégories

Semaine,Pop: (Dans tous les pays),Rock: (Dans tous les pays),Rappeur: (Dans tous les pays),Musique country: (Dans tous les pays),Jazz: (Dans tous les pays)
2013-12-01,29,48,65,21,25
2013-12-08,29,48,66,22,25
2013-12-15,30,52,69,20,25
2013-12-22,30,51,73,20,24
2013-12-29,30,49,72,21,24
2014-01-05,29,46,66,20,25
2014-01-12,28,46,64,22,26
2014-01-19,28,47,63,23,26
2014-01-26,28,49,68,24,25
2014-02-02,28,48,65,22,25
2014-02-09,27,49,64,21,26
2014-02-16,28,49,69,22,26
2014-02-23,27,49,68,21,27
2014-03-02,27,47,66,22,27
2014-03-09,27,49,71,21,27
2014-03-16,28,49,69,22,26
2014-03-23,28,50,67,22,26
2014-03-30,28,49,69,22,27
2014-04-06,28,55,69,27,27
2014-04-13,29,50,76,23,26
2014-04-20,29,49,73,23,28
2014-04-27,29,48,70,23,30
2014-05-04,28,48,71,22,27
2014-05-11,28,49,72,22,27
2014-05-18,28,48,72,23,28
2014-05-25,28,50,71,22,28
2014-06-01,29,54,71,25,28
2014-06-08,28,49,69,24,27
2014-06-15,27,47,70,23,27
2014-06-22,28,48,68,24,30
2014-06-29,28,47,67,23,30
2014-07-06,28,48,65,24,31
2014-07-13,28,50,70,24,31
2014-07-20,28,49,71,24,28
2014-07-27,28,49,69,24,27
2014-08-03,28,49,71,25,27
2014-08-10,29,49,71,24,27
2014-08-17,29,49,70,23,26
2014-08-24,30,49,72,21,26
2014-08-31,29,47,69,21,26
2014-09-07,29,47,70,21,27
2014-09-14,29,48,71,21,26
2014-09-21,29,47,69,21,26
2014-09-28,30,47,71,21,26
2014-10-05,31,48,69,20,26
2014-10-12,31,48,70,21,27
2014-10-19,31,47,72,21,26
2014-10-26,31,47,74,20,25
2014-11-02,31,45,72,25,26
2014-11-09,31,48,73,21,25
2014-11-16,30,47,73,24,26
2014-11-23,30,47,70,20,24
2014-11-30,31,47,72,21,25
2014-12-07,31,47,79,20,25
2014-12-14,32,50,74,20,25
2014-12-21,31,49,79,19,24
2014-12-28,31,47,76,20,24
2015-01-04,29,44,70,20,23
2015-01-11,30,45,71,20,25
2015-01-18,28,46,72,20,25
2015-01-25,28,45,72,21,25
2015-02-01,29,45,71,20,25
2015-02-08,29,46,77,21,25
2015-02-15,28,45,73,20,26
2015-02-22,28,44,74,21,28
2015-03-01,28,45,73,22,28
2015-03-08,28,45,73,21,27
2015-03-15,28,46,75,20,28
2015-03-22,28,45,75,21,27
2015-03-29,29,45,76,21,27
2015-04-05,29,46,76,21,27
2015-04-12,29,45,73,21,27
2015-04-19,29,47,73,26,28
2015-04-26,29,46,75,21,29
2015-05-03,29,44,73,21,27
2015-05-10,29,45,73,22,28
2015-05-17,29,46,75,22,29
2015-05-24,28,46,73,23,28
2015-05-31,28,49,75,24,29
2015-06-07,29,46,74,26,28
2015-06-14,28,45,72,23,28
2015-06-21,28,45,73,24,31
2015-06-28,29,45,76,23,31
2015-07-05,28,44,72,23,32
2015-07-12,28,49,75,23,33
2015-07-19,28,45,76,24,30
2015-07-26,28,45,76,23,28
2015-08-02,29,44,76,24,27
2015-08-09,28,46,76,23,27
2015-08-16,29,46,75,22,27
2015-08-23,29,45,74,22,26
2015-08-30,29,45,74,22,27
2015-09-06,28,44,74,20,28
2015-09-13,29,46,76,20,26
2015-09-20,29,47,78,20,26
2015-09-27,28,46,75,20,24
2015-10-04,28,45,76,20,25
2015-10-11,29,44,77,20,26
2015-10-18,28,44,74,20,26
2015-10-25,29,44,74,19,26
2015-11-01,28,43,76,26,26
2015-11-08,29,43,74,22,27
2015-11-15,28,44,77,20,26
2015-11-22,28,42,74,20,25
2015-11-29,30,44,76,20,26
2015-12-06,28,44,76,20,25
2015-12-13,29,44,78,20,25
2015-12-20,29,46,81,18,26
2015-12-27,29,45,81,26,25
2016-01-03,26,39,76,22,25
2016-01-10,27,43,78,19,25
2016-01-17,28,41,79,19,26
2016-01-24,27,42,78,20,25
2016-01-31,27,42,79,20,26
2016-02-07,27,41,76,20,26
2016-02-14,27,41,78,20,26
2016-02-21,27,41,78,20,26
2016-02-28,26,40,74,20,27
2016-03-06,27,41,75,21,27
2016-03-13,27,41,74,19,26
2016-03-20,26,41,78,20,27
2016-03-27,27,40,75,20,26
2016-04-03,28,42,77,24,30
2016-04-10,27,42,79,20,34
2016-04-17,30,43,78,20,36
2016-04-24,28,42,78,20,37
2016-05-01,27,42,79,21,34
2016-05-08,27,41,77,21,30
2016-05-15,27,42,77,21,29
2016-05-22,27,41,79,21,28
2016-05-29,26,40,77,21,28
