Catégorie : Toutes catégories

Semaine,Pop: (France),Rock: (France),rap: (France),Musique country: (France),Rhythm and blues: (France)
2013-12-01,20,51,79,21,2
2013-12-08,20,50,80,20,1
2013-12-15,22,52,79,19,2
2013-12-22,22,57,89,16,3
2013-12-29,22,50,78,19,2
2014-01-05,18,47,69,21,2
2014-01-12,18,51,70,22,2
2014-01-19,18,52,77,23,2
2014-01-26,20,52,76,25,3
2014-02-02,17,50,78,23,3
2014-02-09,19,53,75,22,2
2014-02-16,19,52,78,23,2
2014-02-23,19,54,78,20,2
2014-03-02,21,50,88,20,2
2014-03-09,19,54,82,19,2
2014-03-16,19,55,80,21,2
2014-03-23,19,55,77,19,2
2014-03-30,21,49,76,18,2
2014-04-06,19,50,77,21,3
2014-04-13,20,51,80,18,2
2014-04-20,20,51,88,19,3
2014-04-27,20,52,85,18,2
2014-05-04,20,54,78,20,2
2014-05-11,21,45,78,21,2
2014-05-18,19,51,84,19,2
2014-05-25,21,52,88,21,2
2014-06-01,20,54,80,17,2
2014-06-08,18,58,75,17,2
2014-06-15,19,54,68,18,2
2014-06-22,19,53,68,18,1
2014-06-29,20,47,61,17,2
2014-07-06,19,49,66,18,2
2014-07-13,20,51,71,16,2
2014-07-20,19,53,71,19,2
2014-07-27,21,50,77,19,3
2014-08-03,21,51,76,16,2
2014-08-10,20,55,72,20,2
2014-08-17,21,55,74,16,2
2014-08-24,21,52,75,16,2
2014-08-31,23,47,74,16,2
2014-09-07,21,49,74,22,2
2014-09-14,20,53,76,21,2
2014-09-21,23,51,69,22,2
2014-09-28,22,50,71,22,2
2014-10-05,21,50,72,21,2
2014-10-12,22,50,66,26,2
2014-10-19,22,50,75,21,2
2014-10-26,22,48,74,20,2
2014-11-02,19,49,74,20,2
2014-11-09,21,53,78,21,2
2014-11-16,22,49,75,22,3
2014-11-23,22,52,73,24,2
2014-11-30,21,50,73,20,2
2014-12-07,20,51,73,20,1
2014-12-14,23,50,79,18,3
2014-12-21,22,55,86,15,3
2014-12-28,22,55,80,17,2
2015-01-04,17,41,71,16,2
2015-01-11,19,44,70,19,2
2015-01-18,19,48,71,21,2
2015-01-25,20,46,74,20,2
2015-02-01,21,47,73,19,2
2015-02-08,20,47,75,20,2
2015-02-15,20,45,75,18,2
2015-02-22,21,48,75,19,2
2015-03-01,22,47,76,19,3
2015-03-08,19,48,73,20,2
2015-03-15,18,52,77,19,2
2015-03-22,18,49,73,19,2
2015-03-29,20,48,76,21,2
2015-04-05,20,49,79,18,3
2015-04-12,20,45,78,15,2
2015-04-19,18,52,77,17,2
2015-04-26,19,50,76,18,2
2015-05-03,22,48,77,19,2
2015-05-10,21,50,83,16,2
2015-05-17,18,51,80,17,2
2015-05-24,19,50,78,19,2
2015-05-31,18,49,83,19,2
2015-06-07,18,51,81,18,2
2015-06-14,21,53,78,19,2
2015-06-21,22,50,75,18,2
2015-06-28,22,49,72,16,2
2015-07-05,19,46,71,14,2
2015-07-12,22,52,74,17,2
2015-07-19,19,50,74,17,2
2015-07-26,20,51,72,18,3
2015-08-02,22,47,78,16,2
2015-08-09,20,47,79,16,3
2015-08-16,20,52,71,16,2
2015-08-23,21,49,67,17,2
2015-08-30,19,49,69,18,2
2015-09-06,20,49,74,21,2
2015-09-13,19,49,74,23,2
2015-09-20,21,47,78,20,2
2015-09-27,20,48,74,20,3
2015-10-04,22,47,76,20,2
2015-10-11,21,45,75,19,2
2015-10-18,20,49,74,18,2
2015-10-25,21,45,79,14,2
2015-11-01,21,50,73,19,2
2015-11-08,20,60,73,18,2
2015-11-15,19,61,72,17,2
2015-11-22,20,52,72,17,2
2015-11-29,20,53,77,17,2
2015-12-06,20,49,79,17,2
2015-12-13,22,53,75,18,2
2015-12-20,23,56,80,13,2
2015-12-27,25,59,77,15,3
2016-01-03,21,50,76,19,2
2016-01-10,24,60,77,19,2
2016-01-17,22,54,77,20,3
2016-01-24,23,50,75,20,2
2016-01-31,24,53,79,19,2
2016-02-07,24,53,76,18,2
2016-02-14,24,55,79,18,2
2016-02-21,20,52,77,19,2
2016-02-28,22,53,76,21,2
2016-03-06,22,51,72,20,2
2016-03-13,22,55,80,20,2
2016-03-20,21,50,76,18,3
2016-03-27,21,55,80,17,2
2016-04-03,21,50,73,18,2
2016-04-10,20,53,75,16,3
2016-04-17,24,52,79,17,2
2016-04-24,22,52,80,18,2
2016-05-01,21,51,80,16,3
2016-05-08,24,55,78,18,2
2016-05-15,22,54,82,18,2
2016-05-22,23,48,76,18,2
2016-05-29,22,48,75,20,1
2016-06-05,22,52,67,16,2
2016-06-12,23,51,64,18,1
2016-06-19,25,54,66,15,2
2016-06-26,27,48,64,15,2
2016-07-03,25,47,62,16,2
2016-07-10,22,43,64,17,2
2016-07-17,21,44,69,14,2
2016-07-24,23,47,68,14,2
2016-07-31,24,49,64,16,2
2016-08-07,21,49,64,15,2
2016-08-14,22,43,66,13,3
2016-08-21,23,46,64,14,1
2016-08-28,21,50,69,16,2
2016-09-04,22,50,71,18,3
2016-09-11,23,50,75,19,2
2016-09-18,23,49,78,20,2
2016-09-25,23,49,71,20,2
2016-10-02,24,49,74,18,2
2016-10-09,22,49,73,19,2
2016-10-16,25,53,71,17,2
2016-10-23,26,52,70,16,2
2016-10-30,24,49,73,18,2
2016-11-06,25,48,73,20,1
2016-11-13,25,48,73,19,2
2016-11-20,26,46,71,18,1
2016-11-27,24,51,71,17,2
2016-12-04,28,49,79,16,2
