Catégorie : Toutes catégories

Semaine,Pop: (Dans tous les pays),Rock: (Dans tous les pays),rap: (Dans tous les pays),Musique country: (Dans tous les pays),Rhythm and blues: (Dans tous les pays)
2013-12-01,44,75,89,32,8
2013-12-08,46,75,92,35,8
2013-12-15,46,82,96,31,8
2013-12-22,46,79,100,32,8
2013-12-29,47,77,93,33,8
2014-01-05,44,70,88,32,8
2014-01-12,44,71,84,35,8
2014-01-19,44,73,82,36,8
2014-01-26,44,75,91,37,8
2014-02-02,44,74,84,34,8
2014-02-09,42,77,85,34,8
2014-02-16,43,77,89,34,7
2014-02-23,43,77,88,33,8
2014-03-02,42,73,86,33,8
2014-03-09,42,78,92,33,8
2014-03-16,43,75,86,34,7
2014-03-23,43,77,83,34,7
2014-03-30,43,76,86,34,8
2014-04-06,42,84,86,43,8
2014-04-13,45,78,89,35,8
2014-04-20,44,75,87,36,8
2014-04-27,45,74,87,36,8
2014-05-04,44,75,87,34,7
2014-05-11,44,75,87,35,8
2014-05-18,44,75,89,36,8
2014-05-25,43,78,86,35,7
2014-06-01,44,84,88,38,8
2014-06-08,42,76,84,37,7
2014-06-15,41,75,83,36,7
2014-06-22,43,73,83,37,8
2014-06-29,43,74,82,35,8
2014-07-06,44,73,80,36,8
2014-07-13,43,76,85,36,8
2014-07-20,43,75,89,37,8
2014-07-27,44,76,85,38,8
2014-08-03,43,78,87,39,8
2014-08-10,45,77,85,37,8
2014-08-17,46,75,87,35,8
2014-08-24,46,77,85,33,7
2014-08-31,44,75,86,32,8
2014-09-07,44,71,89,33,7
2014-09-14,45,73,84,32,8
2014-09-21,45,74,86,32,7
2014-09-28,47,72,89,33,7
2014-10-05,46,74,85,31,7
2014-10-12,49,75,86,33,8
2014-10-19,49,73,87,33,8
2014-10-26,49,72,85,31,7
2014-11-02,48,70,86,40,7
2014-11-09,48,74,90,33,8
2014-11-16,47,72,91,38,8
2014-11-23,47,72,87,31,7
2014-11-30,47,74,90,33,8
2014-12-07,48,75,94,31,8
2014-12-14,49,76,93,31,8
2014-12-21,49,76,95,30,8
2014-12-28,47,72,92,31,8
2015-01-04,46,68,85,31,7
2015-01-11,46,69,84,32,7
2015-01-18,44,70,86,31,8
2015-01-25,44,70,88,33,8
2015-02-01,44,71,86,32,8
2015-02-08,45,72,91,31,8
2015-02-15,42,69,87,31,7
2015-02-22,43,70,90,32,7
2015-03-01,44,69,89,34,8
2015-03-08,43,72,91,33,7
2015-03-15,44,71,90,31,7
2015-03-22,43,71,88,32,7
2015-03-29,45,69,93,32,8
2015-04-05,45,71,91,32,7
2015-04-12,43,69,89,34,7
2015-04-19,45,74,91,41,8
2015-04-26,46,71,95,33,8
2015-05-03,44,68,89,33,8
2015-05-10,44,70,89,35,8
2015-05-17,44,72,87,35,7
2015-05-24,44,71,88,35,7
2015-05-31,43,75,88,38,8
